name,category,city,state,status,heat,source,phone,email,source_url,pic,pic_role,last_contact,next_follow_up,deal_size,remarks
AIS International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-92262802,front.desk@ais-kl.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Alice Smith School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-21483674,businessadmin@alice-smith.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"Aspiration International Secondary School, Kuala Lumpur",International,Taman Tun Dr Ismail,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,012-6775777,operations@aspirationis.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"Brighton International School, Setiawangsa Kuala Lumpur",International,Setapak,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0342652886,registrar@brighton.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Campus Rangers International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,01110284818,jasonho@campusrangers.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
"Cempaka International School, Damansara Heights",International,Bukit Damansara,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-20931740,admissions@cempaka.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Charterhouse International Secondary School,International,Sri Hartamas,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0327025270,hr@charterhouse-htms.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Cheltenham College International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-97765489,,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Cranbridge International School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0392263870,contactus@cranbridge.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Fairview International School,International,Wangsa Maju,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-41420888,enquiries@fairview.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Fairview School Kuala Lumpur,International,Wangsa Maju,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,03-41420888,enquiries@fairview.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
Frontier International Secondary School,International,Kuala Lumpur,Kuala Lumpur,Not Contacted,Hot,Web crawl - EduSwasta,0122909492,admin@frontierinternational.edu.my,https://eduswasta.my/international-schools/kuala-lumpur/,,,,,0,Public directory lead from EduSwasta Kuala Lumpur international schools page. | URL: https://eduswasta.my/international-schools/kuala-lumpur/
